NAME,,SIO2ADJ,TIO2ADJ,AL2O3ADJ,FE2O3ADJ,FEOADJ,MNOADJ,MGOADJ,CAOADJ,NA2OADJ,K2OADJ,P2O5ADJ,La,Ce,Yb,Sm,Th,Nb,Y,Zr
JAG0103,,61.53,1.52,15.20,2.09,5.98,0.124,2.59,5.31,2.59,2.70,0.363,42.430,90.560,4.040,10.060,10.330,15.240,28.160,421.570
JAG1303,,72.90,0.32,13.71,1.28,2.56,0.031,0.15,0.70,2.97,5.34,0.041,117.580,125.760,3.830,13.580,17.220,19.200,29.110,433.290
JAG2603,,63.79,0.96,15.79,2.26,5.64,0.104,0.98,3.70,3.10,3.42,0.251,86.170,111.550,3.800,12.390,11.240,15.550,29.420,464.870
JAG2703,,73.91,0.28,12.86,0.96,1.91,0.030,0.15,0.38,2.76,6.74,0.020,104.490,129.290,4.090,13.540,18.190,19.460,30.980,295.180
SLP0108A,,71.69,0.57,13.89,1.02,2.04,0.010,0.27,1.86,2.94,5.51,0.193,111.940,141.440,4.410,14.840,18.250,21.380,33.490,121.730
GVR10,,72.49,0.35,13.52,1.35,2.69,0.031,0.27,1.57,2.76,4.83,0.144,94.140,121.190,4.260,13.030,17.010,16.970,33.730,135.820
GVR13,,72.02,0.47,13.70,1.46,2.92,0.041,0.37,1.76,2.50,4.58,0.175,102.950,134.370,4.650,14.580,16.990,19.280,39.840,82.920
SLP048,,71.50,0.46,13.86,1.34,2.68,0.043,0.36,1.31,2.82,5.48,0.149,95.120,121.130,4.070,12.660,17.290,18.330,32.210,118.200
VB38,,77.00,0.19,11.84,0.67,1.33,0.010,0.16,0.58,3.09,5.09,0.041,123.000,174.330,9.680,25.760,31.000,47.000,102.000,429.000
VB36,,77.32,0.23,11.59,0.72,1.45,0.020,0.12,0.60,2.73,5.17,0.050,118.450,222.700,4.010,18.510,27.000,40.000,79.000,431.000
VB24,,78.14,0.19,11.43,0.67,1.34,0.010,0.12,0.50,2.61,4.96,0.030,79.950,165.930,5.930,16.480,32.000,42.000,78.000,453.000
VB40,,78.01,0.21,11.38,0.67,1.35,0.010,0.15,0.52,2.54,5.12,0.040,80.570,168.890,5.350,16.370,28.000,44.000,74.000,433.000
VB20,,78.25,0.22,11.52,0.70,1.41,0.020,0.13,0.35,2.25,5.10,0.050,71.430,172.570,6.640,14.960,29.000,42.000,81.000,440.000
VB5,,79.03,0.14,11.04,0.56,1.12,0.020,0.12,0.43,2.67,4.84,0.030,80.770,157.210,5.130,14.900,34.000,47.000,112.000,352.000
